Kod obce,Jmeno obce,Volici v seznamu,Vydane obalky,Platne hlasy,Kandidujici strany
553433,Babylon,230,171,169,-
553441,Bělá nad Radbuzou,1 394,677,671,-
553450,Blížejov,1 129,621,619,-
566136,Brnířov,294,170,170,-
553506,Bukovec,79,44,44,-
566080,Čečovice,62,24,24,-
553514,Čermná,203,134,134,-
566098,Černovice,171,71,69,-
553549,Česká Kubice,549,270,268,-
553557,Díly,315,219,217,-
553425,Domažlice,8 554,5 094,5 073,-
553573,Drahotín,152,64,64,-
553581,Draženov,330,219,219,-
553620,Hlohová,220,143,142,-
566641,Hlohovčice,157,108,108,-
553654,Holýšov,3 970,2 173,2 161,-
566276,Hora Svatého Václava,71,50,50,-
553662,Horní Kamenice,191,130,129,-
553671,Horšovský Týn,3 933,2 109,2 093,-
553689,Hostouň,1 000,442,438,-
566179,Hradiště,125,81,81,-
566331,Hvožďany,29,12,12,-
553727,Chocomyšl,99,63,63,-
553735,Chodov,607,381,381,-
553743,Chodská Lhota,332,201,201,-
553751,Chrastavice,298,217,217,-
566144,Kanice,159,122,122,-
553778,Kaničky,27,23,23,-
553786,Kdyně,4 055,2 417,2 399,-
553794,Klenčí pod Čerchovem,1 030,623,620,-
553816,Koloveč,808,486,483,-
553824,Kout na Šumavě,908,570,566,-
553832,Křenovy,123,84,84,-
553841,Kvíčovice,302,184,182,-
553859,Libkov,90,58,58,-
553867,Loučim,100,75,74,-
553891,Luženičky,290,221,221,-
553913,Meclov,871,451,447,-
553930,Mezholezy,102,65,64,-
553921,Mezholezy,84,54,53,-
553948,Milavče,474,310,304,-
553956,Mířkov,229,95,94,-
566292,Mnichov,173,71,71,-
599174,Močerady,49,32,31,-
553981,Mrákov,928,597,593,-
553999,Mutěnín,217,104,103,-
554006,Nemanice,192,88,88,-
599166,Němčice,106,67,67,-
554022,Neuměř,118,77,77,-
554031,Nevolice,153,110,110,-
599131,Nová Ves,112,77,77,-
554057,Nový Kramolín,179,97,97,-
554073,Osvračín,487,280,278,-
566209,Otov,88,35,34,-
599182,Pařezov,128,83,82,-
554081,Pasečnice,181,118,118,-
554090,Pec,193,132,131,-
566373,Pelechy,69,49,49,-
554111,Poběžovice,1 265,630,627,-
554120,Pocinovice,473,323,320,-
566365,Poděvousy,213,123,123,-
554138,Postřekov,934,576,571,-
554154,Puclice,268,152,152,-
554189,Rybník,145,60,58,-
554201,Semněvice,143,51,51,-
554251,Spáňov,150,120,119,-
554260,Srbice,328,243,242,-
554278,Srby,351,188,186,-
554294,Staňkov,2 627,1 587,1 570,-
554316,Stráž,198,141,139,-
566101,Štichov,68,41,40,-
554341,Tlumačov,350,244,241,-
554359,Trhanov,428,252,251,-
566161,Úboč,92,52,51,-
554383,Újezd,323,195,195,-
554391,Únějovice,88,60,60,-
554405,Úsilov,115,51,51,-
554413,Velký Malahov,201,95,94,-
554421,Vidice,130,71,71,-
566250,Vlkanov,97,57,57,-
566071,Všekary,80,61,61,-
554448,Všepadly,39,30,30,-
554456,Všeruby,638,283,281,-
554464,Zahořany,791,501,499,-
554472,Ždánov,122,79,77,-
